"","observed_month","prod_type","prod_process","n_hens","n_eggs","source"
"269",2018-12-31,"table eggs","cage-free (organic)",15686000,368346960,"PY20190107MCAGEFREE.PDF"
"270",2019-01-31,"table eggs","cage-free (organic)",15686000,368346960,"PY20190205MCAGEFREE.PDF"
"271",2019-02-28,"table eggs","cage-free (organic)",15686000,331601760,"PY20190304MCAGEFREE.PDF"
"272",2019-03-31,"table eggs","cage-free (organic)",15007500,350087605.714286,"PY20190401MCAGEFREE.PDF"
"273",2019-04-30,"table eggs","cage-free (organic)",15686000,355287600,"PY20190506MCAGEFREE.PDF"
"274",2019-05-31,"table eggs","cage-free (organic)",15778000,369284400,"PY20190603MCAGEFREE.PDF"
"275",2019-06-30,"table eggs","cage-free (organic)",15778000,359738742.857143,"PY20190628MCAGEFREE.PDF"
"276",2019-07-31,"table eggs","cage-free (organic)",15755000,371187977.142857,"PY20190805MCAGEFREE.PDF"
"277",2019-08-31,"table eggs","cage-free (organic)",15755000,371187977.142857,"PY20190903MCAGEFREE.PDF"
"278",2019-09-30,"table eggs","cage-free (organic)",15755000,358032342.857143,"PY20191001MCAGEFREE.PDF"
"279",2019-10-31,"table eggs","cage-free (organic)",16111500,378338348.571429,"PY20191105MCAGEFREE.PDF"
"280",2019-11-30,"table eggs","cage-free (organic)",16226500,371180571.428571,"PY20191202MCAGEFREE.PDF"
"281",2019-12-31,"table eggs","cage-free (organic)",16226500,383553257.142857,"PY20200106MCAGEFREE.PDF"
"282",2020-01-31,"table eggs","cage-free (organic)",15651500,368748720,"PY20200203MCAGEFREE.PDF"
"283",2020-02-29,"table eggs","cage-free (organic)",15651500,344958480,"PY20200302MCAGEFREE.PDF"
"284",2020-03-31,"table eggs","cage-free (organic)",15720500,369156857.142857,"PY20200406MCAGEFREE.PDF"
"285",2020-04-30,"table eggs","cage-free (organic)",15720500,358427314.285714,"PY20200504MCAGEFREE.PDF"
"286",2020-05-31,"table eggs","cage-free (organic)",15720500,377684691.428571,"PY20200601MCAGEFREE.PDF"
"287",2020-06-30,"table eggs","cage-free (organic)",15812500,372384000,"PY20200706MCAGEFREE.PDF"
"288",2020-07-31,"table eggs","cage-free (organic)",15812500,384796800,"PY20200803MCAGEFREE.PDF"
"289",2020-08-31,"table eggs","cage-free (organic)",15812500,395826068.571429,"PY20200908MCAGEFREE.PDF"
"290",2020-09-30,"table eggs","cage-free (organic)",17146500,403799657.142857,"PY20201005MCAGEFREE.PDF"
"291",2020-10-31,"table eggs","cage-free (organic)",17146500,422574994.285714,"PY20201102MCAGEFREE.PDF"
"292",2020-11-30,"table eggs","cage-free (organic)",17146500,414087428.571429,"PY20201207MCAGEFREE.PDF"
"293",2020-12-31,"table eggs","cage-free (organic)",17146500,429219977.142857,"PY20210104MCAGEFREE.PDF"
"294",2021-01-31,"table eggs","cage-free (organic)",17330500,424424365.714286,"PY20210201MCAGEFREE.PDF"
"295",2021-02-28,"table eggs","cage-free (organic)",17491500,386912160,"PY20210301MCAGEFREE.PDF"
"296",2021-03-31,"table eggs","cage-free (organic)",17491500,425655154.285714,"PY20210405MCAGEFREE.PDF"
"297",2021-04-30,"table eggs","cage-free (organic)",17491500,418484571.428571,"PY20210430MCAGEFREE.PDF"
"298",2021-05-31,"table eggs","cage-free (organic)",17491500,431077320,"PY20210601MCAGEFREE.PDF"
"299",2021-06-30,"table eggs","cage-free (organic)",17491500,415860171.428571,"PY20210706MCAGEFREE.PDF"
"300",2021-07-31,"table eggs","cage-free (organic)",17491500,431077320,"PY20210802MCAGEFREE.PDF"
"301",2021-08-31,"table eggs","cage-free (organic)",17802000,438729891.428571,"PY20210913MCAGEFREE.PDF"
"302",2021-09-30,"table eggs","cage-free (organic)",17434000,415801542.857143,"PY20211004MCAGEFREE.PDF"
"303",2021-10-31,"table eggs","cage-free (organic)",17491500,435144342.857143,"PY20211101MCAGEFREE.PDF"
"304",2021-11-30,"table eggs","cage-free (organic)",17411000,417864342.857143,"PY20211206MCAGEFREE.PDF"
"305",2021-12-31,"table eggs","cage-free (organic)",18180000,475661520,"PY20220103MCAGEFREE.PDF"
"306",2022-01-31,"table eggs","cage-free (organic)",18180000,475548325.714286,"PY20220207MCAGEFREE.PDF"
"307",2022-02-28,"table eggs","cage-free (organic)",18174767,423329760,"PY20220303MCAGEFREE.PDF"
"308",2022-03-31,"table eggs","cage-free (organic)",18174767,466510320,"PY20220401MCAGEFREE.PDF"
"309",2022-04-30,"table eggs","cage-free (organic)",18174767,460970228.571429,"PY20220429MCAGEFREE.PDF"
"310",2022-05-31,"table eggs","cage-free (organic)",17974837,468833194.285714,"PY20220601MCAGEFREE.PDF"
"311",2022-06-30,"table eggs","cage-free (organic)",17984833,453962571.428571,"PY20220701MCAGEFREE.PDF"
"312",2022-07-31,"table eggs","cage-free (organic)",17984833,466264800,"PY20220801MCAGEFREE.PDF"
"313",2022-08-31,"table eggs","cage-free (organic)",17984833,466264800,"PY20220902MCAGEFREE.PDF"
"314",2022-09-30,"table eggs","cage-free (organic)",17984833,453414857.142857,"PY20221001MCAGEFREE.PDF"
"315",2022-10-31,"table eggs","cage-free (organic)",17984833,462870565.714286,"PY20221101MCAGEFREE.PDF"
"316",2022-11-30,"table eggs","cage-free (organic)",17984833,449033142.857143,"PY20221201MCAGEFREE.PDF"
"317",2022-12-31,"table eggs","cage-free (organic)",18034386,467549794.285714,"PY20230103MCAGEFREE.PDF"
"318",2023-01-31,"table eggs","cage-free (organic)",17464318,448923754.285714,"PY20230201MCAGEFREE.PDF"
"319",2023-02-28,"table eggs","cage-free (organic)",16748968,384588000,"PY20230301MCAGEFREE.PDF"
"320",2023-03-31,"table eggs","cage-free (organic)",17558594,445822868.571429,"PY20230403MCAGEFREE.PDF"
